,Author,Pub,Type,Chunk
29,Aman Madaan,"[' In the past decade, we witnessed dramatic gains in natural language processing and an\nunprecedented scaling of large language models. These developments have been accelerated by the advent of few-shot techniques such as chain of thought (COT) prompting. Specifically, COT pushes the performance of large language models in a few-shot setup by\naugmenting the prompts with intermediate steps. Despite impressive results across various\ntasks, the reasons behind their success have not been explored. This work uses counterfactual prompting to develop a deeper understanding of COT-based few-shot prompting\nmechanisms in large language models. We first systematically identify and define the\nkey components of a prompt: symbols, patterns, and text. Then, we devise and conduct\nan exhaustive set of deliberated experiments across four different tasks, by querying the\nmodel with counterfactual prompts where only one of these components is altered. Our\nexperiments across three models—PaLM, GPT-3, and CODEX—reveal several surprising\nfindings and brings into question the conventional wisdom around few-shot prompting. First, the presence of factual patterns in a prompt is practically immaterial to the success\nof COT. Second, our results conclude that the primary role of intermediate steps may not\nbe to facilitate learning “how” to solve a task.', 'The intermediate steps are rather a beacon\nfor the model to realize “what” symbols to replicate in the output to form a factual answer. As such, the patterns are merely a channel to “trick” the model into forming sentences\nthat resemble correct answers. This pathway is facilitated by text, which imbues patterns with commonsense knowledge and meaning. Our empirical and qualitative analysis\nreveals that a symbiotic relationship between text and patterns explains the success of fewshot prompting: text helps extract commonsense from the question to help patterns, and\npatterns enforce task understanding and direct text generation. Such systematic understanding of COT enables us to devise a concise chain of thought, dubbed as CCOT, where\ntext and patterns are pruned by over 20%, only retaining their key roles. We achieve this\nreduction in the number of tokens while delivering on par or slightly higher solve task rate.']",abstract_chunked,"The intermediate steps are rather a beacon
for the model to realize “what” symbols to replicate in the output to form a factual answer. As such, the patterns are merely a channel to “trick” the model into forming sentences
that resemble correct answers. This pathway is facilitated by text, which imbues patterns with commonsense knowledge and meaning. Our empirical and qualitative analysis
reveals that a symbiotic relationship between text and patterns explains the success of fewshot prompting: text helps extract commonsense from the question to help patterns, and
patterns enforce task understanding and direct text generation. Such systematic understanding of COT enables us to devise a concise chain of thought, dubbed as CCOT, where
text and patterns are pruned by over 20%, only retaining their key roles. We achieve this
reduction in the number of tokens while delivering on par or slightly higher solve task rate."
30,Aman Madaan,"[' Machine learning systems typically apply the\nsame model to both easy and tough cases. This is\nin stark contrast with humans, who tend to evoke\neither fast (instinctive) or slow (analytical) thinking process, depending on the difficulty of the\nproblem—a property called the dual-process theory of mind. We present FLOWGEN, a graphgeneration model inspired by the dual-process\ntheory of mind. Depending on the difficulty of\ngraph completion at the current step, the system either calls a FAST (weaker) module or a\nSLOW (stronger) module for the task. These modules have identical architectures, but vary in the\nnumber of parameters and consequently differ\nin generative power. Experiments on real-world\ngraphs show that FLOWGEN can successfully generate graphs similar to those generated by a single\nlarge model, while being up to 2x faster.']",abstract_chunked," Machine learning systems typically apply the
same model to both easy and tough cases. This is
in stark contrast with humans, who tend to evoke
either fast (instinctive) or slow (analytical) thinking process, depending on the difficulty of the
problem—a property called the dual-process theory of mind. We present FLOWGEN, a graphgeneration model inspired by the dual-process
theory of mind. Depending on the difficulty of
graph completion at the current step, the system either calls a FAST (weaker) module or a
SLOW (stronger) module for the task. These modules have identical architectures, but vary in the
number of parameters and consequently differ
in generative power. Experiments on real-world
graphs show that FLOWGEN can successfully generate graphs similar to those generated by a single
large model, while being up to 2x faster."
31,Aman Madaan,"[' Conditional set generation learns a mapping\nfrom an input sequence of tokens to a set. Several NLP tasks, such as entity typing and\ndialogue emotion tagging, are instances of\nset generation. SEQ2SEQ models, a popular choice for set generation, treat a set as\na sequence and do not fully leverage its key\nproperties, namely order-invariance and cardinality. We propose a novel algorithm for\neffectively sampling informative orders over\nthe combinatorial space of label orders. We\njointly model the set cardinality and output\nby prepending the set size and taking advantage of the autoregressive factorization used\nby SEQ2SEQ models. Our method is a modelindependent data augmentation approach that\nendows any SEQ2SEQ model with the signals\nof order-invariance and cardinality. Training a\nSEQ2SEQ model on this augmented data (without any additional annotations) gets an average\nrelative improvement of 20% on four benchmark datasets across various models: BARTbase, T5-11B, and GPT3-175B.']",abstract_chunked," Conditional set generation learns a mapping
from an input sequence of tokens to a set. Several NLP tasks, such as entity typing and
dialogue emotion tagging, are instances of
set generation. SEQ2SEQ models, a popular choice for set generation, treat a set as
a sequence and do not fully leverage its key
properties, namely order-invariance and cardinality. We propose a novel algorithm for
effectively sampling informative orders over
the combinatorial space of label orders. We
jointly model the set cardinality and output
by prepending the set size and taking advantage of the autoregressive factorization used
by SEQ2SEQ models. Our method is a modelindependent data augmentation approach that
endows any SEQ2SEQ model with the signals
of order-invariance and cardinality. Training a
SEQ2SEQ model on this augmented data (without any additional annotations) gets an average
relative improvement of 20% on four benchmark datasets across various models: BARTbase, T5-11B, and GPT3-175B."
32,Aman Madaan,"[' Large LMs such as GPT-3 are powerful, but\ncan commit mistakes that are obvious to humans. For example, GPT-3 would mistakenly\ninterpret ""What word is similar to good?"" to\nmean a homophone, while the user intended\na synonym. Our goal is to effectively correct such errors via user interactions with the\nsystem but without retraining, which will be\nprohibitively costly. We pair GPT-3 with a\ngrowing memory of recorded cases where the\nmodel misunderstood the user’s intents, along\nwith user feedback for clarification. Such\na memory allows our system to produce enhanced prompts for any new query based on\nthe user feedback for error correction on similar cases in the past. On four tasks (two lexical\ntasks, two advanced ethical reasoning tasks),\nwe show how a (simulated) user can interactively teach a deployed GPT-3, substantially increasing its accuracy over the queries with different kinds of misunderstandings by the GPT3. Our approach is a step towards the low-cost\nutility enhancement for very large pre-trained\nLMs.']",abstract_chunked," Large LMs such as GPT-3 are powerful, but
can commit mistakes that are obvious to humans. For example, GPT-3 would mistakenly
interpret ""What word is similar to good?"" to
mean a homophone, while the user intended
a synonym. Our goal is to effectively correct such errors via user interactions with the
system but without retraining, which will be
prohibitively costly. We pair GPT-3 with a
growing memory of recorded cases where the
model misunderstood the user’s intents, along
with user feedback for clarification. Such
a memory allows our system to produce enhanced prompts for any new query based on
the user feedback for error correction on similar cases in the past. On four tasks (two lexical
tasks, two advanced ethical reasoning tasks),
we show how a (simulated) user can interactively teach a deployed GPT-3, substantially increasing its accuracy over the queries with different kinds of misunderstandings by the GPT3. Our approach is a step towards the low-cost
utility enhancement for very large pre-trained
LMs."
33,Aman Madaan,"[' Defeasible reasoning is the mode of reasoning\nwhere conclusions can be overturned by taking\ninto account new evidence. Existing cognitive\nscience literature on defeasible reasoning suggests that a person forms a mental model of the\nproblem scenario before answering questions. Our research goal asks whether neural models can similarly benefit from envisioning the\nquestion scenario before answering a defeasible query. Our approach is, given a question,\nto have a model first create a graph of relevant\ninfluences, and then leverage that graph as an\nadditional input when answering the question. Our system, CURIOUS, achieves a new stateof-the-art on three different defeasible reasoning datasets. This result is significant as it illustrates that performance can be improved by\nguiding a system to “think about” a question\nand explicitly model the scenario, rather than\nanswering reflexively.']",abstract_chunked," Defeasible reasoning is the mode of reasoning
where conclusions can be overturned by taking
into account new evidence. Existing cognitive
science literature on defeasible reasoning suggests that a person forms a mental model of the
problem scenario before answering questions. Our research goal asks whether neural models can similarly benefit from envisioning the
question scenario before answering a defeasible query. Our approach is, given a question,
to have a model first create a graph of relevant
influences, and then leverage that graph as an
additional input when answering the question. Our system, CURIOUS, achieves a new stateof-the-art on three different defeasible reasoning datasets. This result is significant as it illustrates that performance can be improved by
guiding a system to “think about” a question
and explicitly model the scenario, rather than
answering reflexively."
34,Aman Madaan,"[' Defeasible reasoning is a mode of reasoning\nwhere conclusions can be overturned by taking into account new evidence. A commonly\nused method in cognitive science and logic literature is to handcraft argumentation supporting inference graphs. While humans find inference graphs very useful for reasoning, constructing them at scale is difficult. In this paper, we automatically generate such inference\ngraphs through transfer learning from a related\nNLP task that shares the kind of reasoning that\ninference graphs support. Through automated\nmetrics and human evaluation, we find that our\nmethod generates meaningful graphs for the\ndefeasible inference task. Human accuracy on\nthis task improves by 20% by consulting the\ngenerated graphs. Our findings open up exciting new research avenues for cases where machine reasoning can help human reasoning.']",abstract_chunked," Defeasible reasoning is a mode of reasoning
where conclusions can be overturned by taking into account new evidence. A commonly
used method in cognitive science and logic literature is to handcraft argumentation supporting inference graphs. While humans find inference graphs very useful for reasoning, constructing them at scale is difficult. In this paper, we automatically generate such inference
graphs through transfer learning from a related
NLP task that shares the kind of reasoning that
inference graphs support. Through automated
metrics and human evaluation, we find that our
method generates meaningful graphs for the
defeasible inference task. Human accuracy on
this task improves by 20% by consulting the
generated graphs. Our findings open up exciting new research avenues for cases where machine reasoning can help human reasoning."
35,Aman Madaan,"[' A class of explainable NLP models for reasoning tasks support their decisions by generating free-form or structured explanations, but what happens when these supporting structures contain errors? Our goal is to allow users to interactively correct explanation structures through natural language feedback. We introduce MERCURIE- an interactive system that refines its explanations for a given reasoning task by getting human feedback in natural language. Our approach generates graphs that have 40% fewer inconsistencies as compared with the off-the-shelf system. Further, simply appending the corrected explanation structures to the output leads to a gain of 1.2 points on accuracy on defeasible reasoning across all three domains.']",abstract_chunked," A class of explainable NLP models for reasoning tasks support their decisions by generating free-form or structured explanations, but what happens when these supporting structures contain errors? Our goal is to allow users to interactively correct explanation structures through natural language feedback. We introduce MERCURIE- an interactive system that refines its explanations for a given reasoning task by getting human feedback in natural language. Our approach generates graphs that have 40% fewer inconsistencies as compared with the off-the-shelf system. Further, simply appending the corrected explanation structures to the output leads to a gain of 1.2 points on accuracy on defeasible reasoning across all three domains."
36,Aman Madaan,"[' Reasoning about events and tracking their influences is fundamental to understanding processes. In this paper, we present EIGEN - a method to leverage pre-trained language models to generate event influences conditioned on a context, nature of their influence, and the distance in a reasoning chain. We also derive a new dataset for research and evaluation of methods for event influence generation. EIGEN outperforms strong baselines both in terms of automated evaluation metrics (by 10 ROUGE points) and human judgments on closeness to reference and relevance of generations. Furthermore, we show that the event influences generated by EIGEN improve the performance on a “what-if” Question Answering (WIQA) benchmark (over 3% F1), especially for questions that require background knowledge and multi-hop reasoning']",abstract_chunked," Reasoning about events and tracking their influences is fundamental to understanding processes. In this paper, we present EIGEN - a method to leverage pre-trained language models to generate event influences conditioned on a context, nature of their influence, and the distance in a reasoning chain. We also derive a new dataset for research and evaluation of methods for event influence generation. EIGEN outperforms strong baselines both in terms of automated evaluation metrics (by 10 ROUGE points) and human judgments on closeness to reference and relevance of generations. Furthermore, we show that the event influences generated by EIGEN improve the performance on a “what-if” Question Answering (WIQA) benchmark (over 3% F1), especially for questions that require background knowledge and multi-hop reasoning"
37,Aman Madaan,"[' This paper presents the first study on using large-scale pre-trained language models for automated generation of an event-level temporal graph for a document. Despite the huge success of neural pre-training methods in NLP tasks, its potential for temporal reasoning over event graphs has not been sufficiently explored. Part of the reason is the difficulty in obtaining large training corpora with humanannotated events and temporal links. We address this challenge by using existing IE/NLP tools to automatically generate a large quantity (89,000) of system-produced document-graph pairs, and propose a novel formulation of the contextualized graph generation problem as a sequence-to-sequence mapping task. These strategies enable us to leverage and fine-tune pre-trained language models on the systeminduced training data for the graph generation task. Our experiments show that our approach is highly effective in generating structurally and semantically valid graphs. Further, evaluation on a challenging hand-labeled, out-ofdomain corpus shows that our method outperforms the closest existing method by a large margin on several metrics. We also show a downstream application of our approach by adapting it to answer open-ended temporal questions in a reading comprehension setting']",abstract_chunked," This paper presents the first study on using large-scale pre-trained language models for automated generation of an event-level temporal graph for a document. Despite the huge success of neural pre-training methods in NLP tasks, its potential for temporal reasoning over event graphs has not been sufficiently explored. Part of the reason is the difficulty in obtaining large training corpora with humanannotated events and temporal links. We address this challenge by using existing IE/NLP tools to automatically generate a large quantity (89,000) of system-produced document-graph pairs, and propose a novel formulation of the contextualized graph generation problem as a sequence-to-sequence mapping task. These strategies enable us to leverage and fine-tune pre-trained language models on the systeminduced training data for the graph generation task. Our experiments show that our approach is highly effective in generating structurally and semantically valid graphs. Further, evaluation on a challenging hand-labeled, out-ofdomain corpus shows that our method outperforms the closest existing method by a large margin on several metrics. We also show a downstream application of our approach by adapting it to answer open-ended temporal questions in a reading comprehension setting"
38,Aman Madaan,"[' This paper introduces a new task of politeness\ntransfer which involves converting non-polite\nsentences to polite sentences while preserving\nthe meaning. We also provide a dataset of\nmore than 1.39 million instances automatically\nlabeled for politeness to encourage benchmark\nevaluations on this new task. We design a tag\nand generate pipeline that identifies stylistic attributes and subsequently generates a sentence\nin the target style while preserving most of the\nsource content. For politeness as well as five\nother transfer tasks, our model outperforms the\nstate-of-the-art methods on automatic metrics\nfor content preservation, with a comparable\nor better performance on style transfer accuracy. Additionally, our model surpasses existing methods on human evaluations for grammaticality, meaning preservation and transfer\naccuracy across all the six style transfer tasks. The data and code is located at https://\ngithub.com/tag-and-generate/']",abstract_chunked," This paper introduces a new task of politeness
transfer which involves converting non-polite
sentences to polite sentences while preserving
the meaning. We also provide a dataset of
more than 1.39 million instances automatically
labeled for politeness to encourage benchmark
evaluations on this new task. We design a tag
and generate pipeline that identifies stylistic attributes and subsequently generates a sentence
in the target style while preserving most of the
source content. For politeness as well as five
other transfer tasks, our model outperforms the
state-of-the-art methods on automatic metrics
for content preservation, with a comparable
or better performance on style transfer accuracy. Additionally, our model surpasses existing methods on human evaluations for grammaticality, meaning preservation and transfer
accuracy across all the six style transfer tasks. The data and code is located at https://
github.com/tag-and-generate/"
39,Aman Madaan,"[' We propose a method of curating high-quality comparable training data\nfor low-resource languages with monolingual annotators. Our method involves using a carefully selected set of images as a pivot between the\nsource and target languages by getting captions for such images in both\nlanguages independently. Human evaluations on the English-Hindi comparable corpora created with our method show that 81.1% of the pairs\nare acceptable translations, and only 2.47% of the pairs are not translations at all. We further establish the potential of the dataset collected\nthrough our approach by experimenting on two downstream tasks – machine translation and dictionary extraction. All code and data are available\nat https://github.com/madaan/PML4DC-Comparable-Data-Collection']",abstract_chunked," We propose a method of curating high-quality comparable training data
for low-resource languages with monolingual annotators. Our method involves using a carefully selected set of images as a pivot between the
source and target languages by getting captions for such images in both
languages independently. Human evaluations on the English-Hindi comparable corpora created with our method show that 81.1% of the pairs
are acceptable translations, and only 2.47% of the pairs are not translations at all. We further establish the potential of the dataset collected
through our approach by experimenting on two downstream tasks – machine translation and dictionary extraction. All code and data are available
at https://github.com/madaan/PML4DC-Comparable-Data-Collection"
40,Aman Madaan,"[' We study a novel task of numerical relation extraction with\nthe goal of extracting relations where one of the arguments\nis a number or a quantity (e.g., atomic number(Aluminium,\n13), inflation rate(India, 10.9%)). This task presents peculiar\nchallenges not found in standard Information Extraction (IE),\nsuch as the difficulty of matching numbers in distant supervision and the importance of units. We design two extraction systems that require minimal human supervision per relation: (1) NumberRule, a rule based extractor, and (2) NumberTron, a probabilistic graphical model. We find that both\nsystems dramatically outperform MultiR, a state-of-the-art\nnon-numerical IE model, obtaining up to 25 points F-score\nimprovement.']",abstract_chunked," We study a novel task of numerical relation extraction with
the goal of extracting relations where one of the arguments
is a number or a quantity (e.g., atomic number(Aluminium,
13), inflation rate(India, 10.9%)). This task presents peculiar
challenges not found in standard Information Extraction (IE),
such as the difficulty of matching numbers in distant supervision and the importance of units. We design two extraction systems that require minimal human supervision per relation: (1) NumberRule, a rule based extractor, and (2) NumberTron, a probabilistic graphical model. We find that both
systems dramatically outperform MultiR, a state-of-the-art
non-numerical IE model, obtaining up to 25 points F-score
improvement."
41,Hugo Touvron,"[' In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned large language models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine-tuned LLMs, called Llama 2-Chat, are optimized for dialogue use cases. Our models outperform open-source chat models on most benchmarks we tested, and based on our human evaluations for helpfulness and safety, may be a suitable substitute for closedsource models. We provide a detailed description of our approach to fine-tuning and safety improvements of Llama 2-Chat in order to enable the community to build on our work and contribute to the responsible development of LLMs.']",abstract_chunked," In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned large language models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine-tuned LLMs, called Llama 2-Chat, are optimized for dialogue use cases. Our models outperform open-source chat models on most benchmarks we tested, and based on our human evaluations for helpfulness and safety, may be a suitable substitute for closedsource models. We provide a detailed description of our approach to fine-tuning and safety improvements of Llama 2-Chat in order to enable the community to build on our work and contribute to the responsible development of LLMs."
42,Hugo Touvron,"[' We introduce LLaMA, a collection of foundation language models ranging from 7B to 65B\nparameters. We train our models on trillions\nof tokens, and show that it is possible to train\nstate-of-the-art models using publicly available datasets exclusively, without resorting\nto proprietary and inaccessible datasets. In\nparticular, LLaMA-13B outperforms GPT-3\n(175B) on most benchmarks, and LLaMA65B is competitive with the best models,\nChinchilla-70B and PaLM-540B. We release\nall our models to the research community.']",abstract_chunked," We introduce LLaMA, a collection of foundation language models ranging from 7B to 65B
parameters. We train our models on trillions
of tokens, and show that it is possible to train
state-of-the-art models using publicly available datasets exclusively, without resorting
to proprietary and inaccessible datasets. In
particular, LLaMA-13B outperforms GPT-3
(175B) on most benchmarks, and LLaMA65B is competitive with the best models,
Chinchilla-70B and PaLM-540B. We release
all our models to the research community."
43,Hugo Touvron,"[' We introduce submodel co-training, a regularization\nmethod related to co-training, self-distillation and stochastic depth. Given a neural network to be trained, for each\nsample we implicitly instantiate two altered networks, “submodels”, with stochastic depth: we activate only a subset\nof the layers. Each network serves as a soft teacher to the\nother, by providing a loss that complements the regular loss\nprovided by the one-hot label. Our approach, dubbed “cosub”, uses a single set of weights, and does not involve a\npre-trained external model or temporal averaging. Experimentally, we show that submodel co-training is\neffective to train backbones for recognition tasks such as\nimage classification and semantic segmentation. Our approach is compatible with multiple architectures, including\nRegNet, ViT, PiT, XCiT, Swin and ConvNext. Our training\nstrategy improves their results in comparable settings. For\ninstance, a ViT-B pretrained with cosub on ImageNet-21k\nobtains 87.4% top-1 acc. @448 on ImageNet-val.']",abstract_chunked," We introduce submodel co-training, a regularization
method related to co-training, self-distillation and stochastic depth. Given a neural network to be trained, for each
sample we implicitly instantiate two altered networks, “submodels”, with stochastic depth: we activate only a subset
of the layers. Each network serves as a soft teacher to the
other, by providing a loss that complements the regular loss
provided by the one-hot label. Our approach, dubbed “cosub”, uses a single set of weights, and does not involve a
pre-trained external model or temporal averaging. Experimentally, we show that submodel co-training is
effective to train backbones for recognition tasks such as
image classification and semantic segmentation. Our approach is compatible with multiple architectures, including
RegNet, ViT, PiT, XCiT, Swin and ConvNext. Our training
strategy improves their results in comparable settings. For
instance, a ViT-B pretrained with cosub on ImageNet-21k
obtains 87.4% top-1 acc. @448 on ImageNet-val."
44,Hugo Touvron,"[' A Vision Transformer (ViT) is a simple neural architecture amenable to serve\nseveral computer vision tasks. It has limited built-in architectural priors, in\ncontrast to more recent architectures that incorporate priors either about the\ninput data or of specific tasks. Recent works show that ViTs benefit from selfsupervised pre-training, in particular BerT-like pre-training like BeiT. In this paper, we revisit the supervised training of ViTs. Our procedure\nbuilds upon and simplifies a recipe introduced for training ResNet-50. It includes a new simple data-augmentation procedure with only 3 augmentations,\ncloser to the practice in self-supervised learning. Our evaluations on Image\nclassification (ImageNet-1k with and without pre-training on ImageNet-21k),\ntransfer learning and semantic segmentation show that our procedure outperforms by a large margin previous fully supervised training recipes for ViT. It\nalso reveals that the performance of our ViT trained with supervision is comparable to that of more recent architectures. Our results could serve as better\nbaselines for recent self-supervised approaches demonstrated on ViT.']",abstract_chunked," A Vision Transformer (ViT) is a simple neural architecture amenable to serve
several computer vision tasks. It has limited built-in architectural priors, in
contrast to more recent architectures that incorporate priors either about the
input data or of specific tasks. Recent works show that ViTs benefit from selfsupervised pre-training, in particular BerT-like pre-training like BeiT. In this paper, we revisit the supervised training of ViTs. Our procedure
builds upon and simplifies a recipe introduced for training ResNet-50. It includes a new simple data-augmentation procedure with only 3 augmentations,
closer to the practice in self-supervised learning. Our evaluations on Image
classification (ImageNet-1k with and without pre-training on ImageNet-21k),
transfer learning and semantic segmentation show that our procedure outperforms by a large margin previous fully supervised training recipes for ViT. It
also reveals that the performance of our ViT trained with supervision is comparable to that of more recent architectures. Our results could serve as better
baselines for recent self-supervised approaches demonstrated on ViT."
45,Hugo Touvron,"[' After their initial success in natural language processing, transformer architectures have rapidly gained traction in computer vision, providing stateof-the-art results for tasks such as image classification, detection, segmentation, and video analysis. We offer three insights based on simple and easy to implement variants of vision transformers. (1) The residual layers of vision transformers, which are usually processed sequentially, can to some extent be processed efficiently in parallel without noticeably affecting the accuracy. (2) Fine-tuning the weights of the attention layers is sufficient to adapt vision transformers to a higher resolution and to other classification tasks. This saves compute, reduces the peak memory consumption at fine-tuning time, and allows sharing the majority of weights across tasks. (3) Adding MLP-based patch pre-processing layers improves Bert-like self-supervised training based on patch masking. We evaluate the impact of these design choices using the ImageNet-1k dataset, and confirm our findings on the ImageNet-v2 test set. Transfer performance is measured across six smaller datasets.']",abstract_chunked," After their initial success in natural language processing, transformer architectures have rapidly gained traction in computer vision, providing stateof-the-art results for tasks such as image classification, detection, segmentation, and video analysis. We offer three insights based on simple and easy to implement variants of vision transformers. (1) The residual layers of vision transformers, which are usually processed sequentially, can to some extent be processed efficiently in parallel without noticeably affecting the accuracy. (2) Fine-tuning the weights of the attention layers is sufficient to adapt vision transformers to a higher resolution and to other classification tasks. This saves compute, reduces the peak memory consumption at fine-tuning time, and allows sharing the majority of weights across tasks. (3) Adding MLP-based patch pre-processing layers improves Bert-like self-supervised training based on patch masking. We evaluate the impact of these design choices using the ImageNet-1k dataset, and confirm our findings on the ImageNet-v2 test set. Transfer performance is measured across six smaller datasets."
46,Hugo Touvron,"[' Nowadays, machine learning and more particularly deep learning have an increasing impact in our society. This field has become prevalent, for instance in natural language processing where it has led to concrete applications to hate speech detection and document summarization. Sim- ilarly for computer vision, it enables better image interpretation, medical diagnosis, and major steps towards autonomous driving. Deep learning success is often associated with emblematic architectures, like AlexNet [123], ResNet [94] or GPT [155]. These successes were also powered by well-designed optimisation procedures, which are usually not the main focus of discussions. In image classification, the ImageNet [168] challenge was an accelerator for the development of new architectures but also for new optimisation recipes. In this thesis, we discuss the interactions between architectures and training procedures. We study more specifically Transformers [204] architecture applied for visual understanding. Cur- rently, transformers training procedures are less mature than those employed with convolutional networks (convnets). However, training is key to overcoming the limited architectural priors of transformers. For this reason, we focus on training procedures capable of obtaining interesting performance for transformers or even simpler architectures close to the multi-layer perceptron. We start by studying the possibility of learning with coarse labels through a modification of the training procedure. We then study different kinds of architectures for computer vision. We study their features, their advantages, their drawbacks and how to train them. Finally, we study the impact of the interaction between architecture and training process. All our approaches are evalu- ated in image classification on ImageNet and in transfer learning. We also evaluate our methods on additional tasks such as semantic segmentation.']",abstract_chunked," Nowadays, machine learning and more particularly deep learning have an increasing impact in our society. This field has become prevalent, for instance in natural language processing where it has led to concrete applications to hate speech detection and document summarization. Sim- ilarly for computer vision, it enables better image interpretation, medical diagnosis, and major steps towards autonomous driving. Deep learning success is often associated with emblematic architectures, like AlexNet [123], ResNet [94] or GPT [155]. These successes were also powered by well-designed optimisation procedures, which are usually not the main focus of discussions. In image classification, the ImageNet [168] challenge was an accelerator for the development of new architectures but also for new optimisation recipes. In this thesis, we discuss the interactions between architectures and training procedures. We study more specifically Transformers [204] architecture applied for visual understanding. Cur- rently, transformers training procedures are less mature than those employed with convolutional networks (convnets). However, training is key to overcoming the limited architectural priors of transformers. For this reason, we focus on training procedures capable of obtaining interesting performance for transformers or even simpler architectures close to the multi-layer perceptron. We start by studying the possibility of learning with coarse labels through a modification of the training procedure. We then study different kinds of architectures for computer vision. We study their features, their advantages, their drawbacks and how to train them. Finally, we study the impact of the interaction between architecture and training process. All our approaches are evalu- ated in image classification on ImageNet and in transfer learning. We also evaluate our methods on additional tasks such as semantic segmentation."
47,Hugo Touvron,"[' We show how to augment any convolutional network with an attention-based global map to achieve non-local reasoning. We replace the final average pooling by an attentionbased aggregation layer akin to a single transformer block, that weights how the patches are involved in the classification decision. We plug this learned aggregation layer with a simplistic patch-based convolutional network parametrized by 2 parameters (width and depth). In contrast with a pyramidal design, this architecture family maintains the input patch resolution across all the layers. It yields surprisingly competitive trade-offs between accuracy and complexity, in particular in terms of memory consumption, as shown by our experiments on various computer vision tasks: object classification, image segmentation and detection.']",abstract_chunked," We show how to augment any convolutional network with an attention-based global map to achieve non-local reasoning. We replace the final average pooling by an attentionbased aggregation layer akin to a single transformer block, that weights how the patches are involved in the classification decision. We plug this learned aggregation layer with a simplistic patch-based convolutional network parametrized by 2 parameters (width and depth). In contrast with a pyramidal design, this architecture family maintains the input patch resolution across all the layers. It yields surprisingly competitive trade-offs between accuracy and complexity, in particular in terms of memory consumption, as shown by our experiments on various computer vision tasks: object classification, image segmentation and detection."
48,Hugo Touvron,"[' Recently, neural networks purely based on attention were shown to address image understanding tasks such as image classification. These highperforming vision transformers are pre-trained with hundreds of millions\nof images using a large infrastructure, thereby limiting their adoption. In this work, we produce competitive convolution-free transformers by\ntraining on Imagenet only. We train them on a single computer in less than\n3 days. Our reference vision transformer (86M parameters) achieves top-1\naccuracy of 83.1% (single-crop) on ImageNet with no external data. More importantly, we introduce a teacher-student strategy specific to\ntransformers. It relies on a distillation token ensuring that the student\nlearns from the teacher through attention. We show the interest of this\ntoken-based distillation, especially when using a convnet as a teacher. This\nleads us to report results competitive with convnets for both Imagenet\n(where we obtain up to 85.2% accuracy) and when transferring to other\ntasks. We share our code and models.']",abstract_chunked," Recently, neural networks purely based on attention were shown to address image understanding tasks such as image classification. These highperforming vision transformers are pre-trained with hundreds of millions
of images using a large infrastructure, thereby limiting their adoption. In this work, we produce competitive convolution-free transformers by
training on Imagenet only. We train them on a single computer in less than
3 days. Our reference vision transformer (86M parameters) achieves top-1
accuracy of 83.1% (single-crop) on ImageNet with no external data. More importantly, we introduce a teacher-student strategy specific to
transformers. It relies on a distillation token ensuring that the student
learns from the teacher through attention. We show the interest of this
token-based distillation, especially when using a convnet as a teacher. This
leads us to report results competitive with convnets for both Imagenet
(where we obtain up to 85.2% accuracy) and when transferring to other
tasks. We share our code and models."
49,Hugo Touvron,"[' We present ResMLP, an architecture built entirely upon multi-layer perceptrons for image classification. It is a simple residual network that alternates (i) a linear layer in which image patches interact, independently and identically across channels, and (ii) a two-layer feed-forward network in which channels interact independently per patch. When trained with a modern training strategy using heavy data-augmentation and optionally distillation, it attains surprisingly good accuracy/complexity tradeoffs on ImageNet. We also train ResMLP models in a self-supervised setup, to further remove priors from employing a labelled dataset. Finally, by adapting our model to machine translation we achieve surprisingly good results. We share pre-trained models and our code based on the Timm library.']",abstract_chunked," We present ResMLP, an architecture built entirely upon multi-layer perceptrons for image classification. It is a simple residual network that alternates (i) a linear layer in which image patches interact, independently and identically across channels, and (ii) a two-layer feed-forward network in which channels interact independently per patch. When trained with a modern training strategy using heavy data-augmentation and optionally distillation, it attains surprisingly good accuracy/complexity tradeoffs on ImageNet. We also train ResMLP models in a self-supervised setup, to further remove priors from employing a labelled dataset. Finally, by adapting our model to machine translation we achieve surprisingly good results. We share pre-trained models and our code based on the Timm library."
